Calculation1,Campus,City,County/State/ Territory,Fall Term,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2013,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2013,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2013,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2012,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2012,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2012,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2011,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2011,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2011,app,FORT BRAGG HIGH SCHOOL,All,9
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2009,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2009,adm,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2009,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2009,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2009,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2009,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2000,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2000,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2000,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,1997,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,1997,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,1997,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2017,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2017,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2017,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,White,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,White,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,All,3
