Calculation1,Campus,City,County,Fall Term,Measure Names,School,Measure Values
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2009,Adm GPA,FORT BRAGG HIGH SCHOOL,3.91375
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2009,App GPA,FORT BRAGG HIGH SCHOOL,4.098
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2009,App GPA,FORT BRAGG HIGH SCHOOL,4.098
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2009,App GPA,FORT BRAGG HIGH SCHOOL,3.91375
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.758888889
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.93
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.972
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.755333333
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.783
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.826666667
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.746666667
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.801428571
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.71125
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2007,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2007,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2007,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2007,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2007,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2007,Adm GPA,FORT BRAGG HIGH SCHOOL,3.875555556
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2007,App GPA,FORT BRAGG HIGH SCHOOL,3.54
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2007,App GPA,FORT BRAGG HIGH SCHOOL,4.018333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2007,App GPA,FORT BRAGG HIGH SCHOOL,3.834545455
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,3.768
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,3.768
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,3.615555556
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.706666667
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.768
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.49
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.554
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2005,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2005,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2005,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2005,Adm GPA,FORT BRAGG HIGH SCHOOL,3.578571429
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2005,App GPA,FORT BRAGG HIGH SCHOOL,3.341666667
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2005,App GPA,FORT BRAGG HIGH SCHOOL,3.4875
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2004,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2004,Enrl GPA,FORT BRAGG HIGH SCHOOL,
